S3_Temp,S5_CO2,Room_Occupancy_Count
25.0,560,1
25.0,560,1
25.0,560,1
25.0,565,1
25.0,570,1
25.0,570,1
25.0,570,1
25.0,580,1
25.0,580,1
25.06,585,1
25.0,590,1
25.06,585,1
25.06,590,1
25.0,590,1
25.06,600,1
25.06,600,1
25.06,595,1
25.06,605,1
25.06,595,1
25.06,595,1
25.06,590,1
25.06,590,1
25.06,590,1
25.06,590,1
25.06,595,1
25.06,595,1
25.06,595,1
25.13,600,1
25.06,610,1
25.06,605,1
25.06,610,1
25.06,615,1
25.06,615,1
25.06,620,1
25.06,625,1
25.06,630,1
25.13,630,1
25.13,630,1
25.13,630,1
25.13,625,1
25.13,625,1
25.13,630,1
25.13,630,1
25.13,625,1
25.13,635,1
25.13,635,1
25.13,635,1
25.13,630,1
25.13,635,1
25.13,635,1
25.13,635,1
25.13,635,1
25.13,640,1
25.13,645,1
25.19,650,1
25.13,645,1
25.13,650,1
25.13,640,1
25.19,640,1
25.13,645,1
25.19,645,1
25.19,640,1
25.19,645,1
25.19,640,1
25.19,645,1
25.19,645,1
25.19,640,1
25.19,640,1
25.19,645,1
25.19,645,1
25.19,650,1
25.25,645,1
25.25,655,1
25.31,655,1
25.31,660,1
25.31,660,1
25.31,655,1
25.31,660,1
25.31,665,1
25.31,665,1
25.31,670,1
25.31,680,1
25.31,675,1
25.38,675,1
25.38,675,1
25.38,675,1
25.31,685,1
25.38,690,1
25.38,690,1
25.38,695,1
25.38,695,1
25.38,700,1
25.38,695,1
25.38,695,1
25.5,810,1
25.5,810,1
25.5,810,1
25.5,815,1
25.5,815,1
25.5,815,1
25.5,815,1
25.56,820,1
25.5,835,1
25.56,840,1
25.56,840,1
25.56,845,1
25.56,845,1
25.56,845,1
25.56,845,1
25.63,840,1
25.63,840,1
25.63,845,1
25.63,850,1
25.69,855,1
25.69,850,1
25.69,850,1
25.69,845,1
25.69,845,1
25.69,850,1
25.69,855,1
25.69,855,1
25.69,860,1
25.75,855,1
25.75,860,1
25.75,860,1
25.75,860,1
25.75,860,1
25.81,860,1
25.81,865,1
25.81,865,1
25.81,865,1
25.81,875,1
25.81,880,1
25.81,875,1
25.81,880,1
25.88,885,1
25.88,885,1
25.88,875,1
25.88,870,1
25.88,875,1
25.88,870,1
25.88,870,1
25.94,870,1
25.88,865,1
25.88,870,1
25.88,870,1
25.88,865,1
25.94,860,1
25.94,840,1
25.94,845,1
25.94,850,1
25.94,860,1
25.88,865,1
25.94,870,1
25.88,870,1
25.94,885,1
25.94,890,1
25.94,895,1
25.94,895,1
25.94,890,1
25.94,890,1
25.94,880,1
25.94,880,1
25.94,880,1
25.94,875,1
25.94,875,1
26.0,875,1
25.94,880,1
25.94,880,1
26.0,890,1
26.0,900,1
25.94,905,1
25.94,910,1
26.0,910,1
26.0,910,1
26.0,910,1
26.0,910,1
26.0,910,1
26.0,910,1
26.0,910,1
26.0,915,1
26.0,910,1
26.06,915,1
26.0,920,1
26.0,925,1
26.0,925,1
26.06,930,1
26.06,935,1
26.0,935,1
26.06,935,1
26.06,935,1
26.0,935,1
26.0,935,1
26.0,935,1
26.0,930,1
26.0,925,1
26.0,925,1
26.06,930,1
26.0,940,1
26.0,940,1
26.06,945,1
26.0,945,1
26.0,955,1
26.06,960,1
26.06,965,1
26.0,960,1
26.0,965,1
26.06,970,1
26.06,965,1
26.06,970,1
26.06,975,1
26.06,970,1
26.06,965,1
26.06,960,1
26.06,955,1
26.06,960,1
26.06,965,1
26.06,965,1
26.13,965,1
26.13,965,1
26.13,960,1
26.13,955,1
26.13,950,1
26.13,950,1
26.13,950,0
26.13,960,0
26.13,970,0
26.06,965,0
26.06,970,0
26.13,970,0
26.06,970,0
26.06,970,0
26.06,970,0
26.06,965,0
26.06,970,0
26.06,965,0
26.06,960,0
26.06,965,0
26.0,965,0
26.0,965,0
26.0,975,0
26.0,975,0
26.0,975,0
26.0,970,0
26.0,965,0
26.0,960,0
26.0,960,0
26.0,955,0
26.0,945,0
26.0,945,0
25.94,950,0
25.94,950,0
25.94,940,0
25.94,930,0
25.94,920,0
25.94,910,0
25.94,900,0
25.88,890,0
25.88,880,0
25.88,870,0
25.88,865,0
25.88,855,0
25.88,850,0
25.88,845,0
25.88,850,0
25.88,845,0
25.88,840,0
25.88,840,0
25.88,835,0
25.88,835,0
25.88,835,0
25.88,835,0
25.88,830,0
25.88,830,0
25.81,830,0
25.88,830,0
25.81,830,0
25.81,820,0
25.88,820,0
25.88,815,0
25.88,815,0
25.88,815,0
25.81,805,0
25.81,805,0
25.81,800,0
25.81,795,0
25.88,785,0
25.88,775,0
25.81,770,0
25.81,770,0
25.81,765,0
25.81,760,0
25.81,760,0
25.81,755,0
25.81,750,0
25.81,755,0
25.81,750,0
25.81,750,0
25.81,755,0
25.81,755,0
25.75,750,0
25.75,755,0
25.81,750,0
25.75,740,0
25.75,730,0
25.75,730,0
25.75,720,0
25.81,715,0
25.75,710,0
25.75,715,0
25.75,715,0
25.75,715,0
25.75,715,0
25.75,715,0
25.75,705,0
25.75,705,0
25.75,705,0
25.75,705,0
25.75,695,0
25.75,690,0
25.75,690,0
25.75,695,0
25.75,690,0
25.75,685,0
25.75,680,0
25.75,685,0
25.75,690,0
25.75,685,0
25.75,685,0
25.75,680,0
25.75,675,0
25.75,680,0
25.75,675,0
25.75,675,0
25.75,675,0
25.69,675,0
25.75,670,0
25.69,655,0
25.69,655,0
25.69,650,0
25.69,650,0
25.75,640,0
25.69,640,0
25.69,640,0
25.75,635,0
25.69,625,0
25.69,630,0
25.69,625,0
25.69,620,0
25.69,615,0
25.69,610,0
25.69,600,0
25.69,600,0
25.69,595,0
25.69,600,0
25.69,600,0
25.69,600,0
25.69,595,1
25.69,595,1
25.69,595,1
25.69,590,1
25.69,590,1
25.69,595,1
25.69,585,1
25.69,590,1
25.63,595,1
25.69,595,1
25.63,590,1
25.63,580,1
25.63,580,1
25.63,580,1
25.63,580,1
25.63,580,1
25.63,580,1
25.63,575,1
25.63,575,1
25.56,570,1
25.63,570,1
25.63,570,1
25.63,570,1
25.63,575,1
25.63,570,1
25.63,575,1
25.63,575,1
25.63,575,1
25.63,575,1
25.63,575,1
25.63,565,1
25.63,570,1
25.63,575,1
25.63,565,1
25.63,570,1
25.63,570,1
25.63,570,1
25.63,565,1
25.63,565,1
25.63,565,1
25.63,560,1
25.63,560,1
25.63,565,1
25.63,570,1
25.63,565,1
25.63,570,1
25.63,575,1
25.69,580,1
25.63,575,1
25.69,580,1
25.63,585,1
25.63,585,1
25.63,590,1
25.69,590,1
25.63,590,1
25.63,590,1
25.63,590,1
25.63,585,1
25.56,595,1
25.63,600,1
25.56,600,1
25.63,595,1
25.56,595,1
25.56,595,1
25.63,595,1
25.56,590,1
25.56,595,1
25.56,595,1
25.56,595,1
25.56,595,1
25.63,590,1
25.63,590,1
25.56,595,1
25.56,595,1
25.63,595,1
25.56,595,1
25.56,595,1
25.56,605,1
25.56,605,1
25.56,605,1
25.56,600,1
25.56,595,1
25.56,595,1
25.56,595,1
25.56,595,1
25.56,600,1
25.56,605,1
25.56,605,1
25.56,605,1
25.56,605,1
25.56,605,1
25.56,615,1
25.56,610,1
25.56,615,1
25.56,620,1
25.63,615,1
25.56,610,1
25.63,615,1
25.56,605,1
25.56,610,1
25.56,610,1
25.56,610,1
25.56,620,1
25.56,620,1
25.56,620,1
25.56,615,1
25.56,620,1
25.56,625,1
25.56,615,1
25.63,620,1
25.63,620,1
25.56,620,1
25.56,620,1
25.56,620,1
25.56,615,1
25.56,620,1
25.56,615,1
25.56,615,1
25.56,615,1
25.56,620,1
25.56,625,1
25.56,630,1
25.56,630,1
25.56,625,1
25.56,625,1
25.56,625,1
25.56,625,1
25.56,625,1
25.56,625,1
25.63,615,1
25.56,615,1
25.63,615,1
25.56,620,1
25.63,620,1
25.63,625,1
25.63,625,1
25.63,635,1
25.63,630,1
25.63,630,1
25.63,630,1
25.63,630,1
25.63,630,1
25.69,625,1
25.69,630,1
25.69,625,1
25.69,630,1
25.69,625,1
25.75,630,1
25.69,630,1
25.75,635,1
25.69,635,1
25.75,640,1
25.75,645,1
25.75,645,1
25.75,645,1
25.75,655,1
25.75,655,1
25.75,655,1
25.75,650,1
25.75,665,1
25.75,660,1
25.75,670,1
25.69,670,1
25.69,670,1
25.69,675,1
25.75,680,1
25.75,680,1
25.75,680,1
25.69,685,1
25.69,690,1
25.69,690,1
25.75,690,1
25.75,690,1
25.75,690,1
25.75,695,1
25.75,700,1
25.75,700,1
25.75,700,1
25.75,700,1
25.75,710,1
25.75,710,1
25.75,710,1
25.75,710,1
25.75,705,1
25.75,715,1
25.75,715,1
25.75,715,1
25.75,720,1
25.75,720,1
25.75,720,1
25.75,725,1
25.75,725,1
25.75,725,1
25.75,730,1
25.75,725,1
25.75,725,1
25.75,730,1
25.75,730,1
25.75,730,1
25.75,735,1
25.75,735,1
25.75,735,1
25.75,735,1
25.75,740,1
25.75,740,1
25.75,740,1
25.81,745,1
25.81,745,1
25.81,750,1
25.81,750,1
25.81,745,1
25.81,745,1
25.81,745,1
25.81,750,1
25.75,750,1
25.81,750,1
25.81,750,1
25.75,755,1
25.81,760,1
25.81,755,1
25.81,760,1
25.81,760,1
25.81,765,1
25.81,765,1
25.81,770,1
25.81,770,1
25.81,770,1
25.81,775,1
25.81,775,1
25.81,775,1
25.81,785,1
25.75,790,1
25.75,795,1
25.81,800,1
25.81,800,1
25.81,795,1
25.81,795,1
25.81,795,1
25.81,795,1
25.81,790,1
25.75,800,1
25.81,805,1
25.81,805,1
25.81,805,1
25.88,800,1
25.88,805,1
25.88,810,1
25.88,810,1
25.88,810,1
25.88,815,1
25.88,815,1
25.88,820,1
25.81,825,1
25.81,830,1
25.81,825,1
25.88,830,1
25.88,830,1
25.94,835,1
25.94,835,1
25.94,830,1
25.94,830,1
25.94,830,1
25.94,830,1
25.88,825,1
25.88,820,1
25.88,820,1
25.94,820,1
25.88,830,1
25.88,835,1
25.88,840,1
25.88,845,1
25.88,850,1
25.88,860,1
25.88,860,1
25.88,860,1
25.88,860,1
25.88,860,1
25.94,855,1
25.94,860,1
25.94,865,1
25.88,865,1
25.94,870,1
25.88,870,1
25.94,875,1
25.94,880,1
25.94,885,1
25.88,890,1
25.94,895,1
25.88,890,1
25.94,890,1
25.94,890,1
25.88,890,1
25.94,895,1
25.94,895,1
25.94,900,1
25.94,905,1
26.0,905,1
25.94,920,1
25.94,930,1
25.94,935,1
25.94,940,1
25.94,950,1
26.0,955,1
25.94,960,1
26.0,965,1
25.94,965,1
25.94,970,1
26.0,975,1
26.0,970,1
26.0,975,1
26.0,975,1
26.0,980,1
26.0,985,1
26.0,985,1
26.0,985,1
26.0,995,1
26.06,995,1
26.06,995,1
26.0,995,1
26.0,995,1
26.0,1000,1
26.0,1000,1
26.0,1010,1
26.0,1015,1
26.0,1015,1
26.0,1015,1
26.0,1015,1
26.0,1025,1
26.0,1025,1
26.0,1025,1
26.0,1025,1
26.0,1030,1
26.0,1040,1
25.94,1035,1
25.94,1035,1
26.0,1045,1
26.0,1050,1
26.0,1055,1
26.0,1055,1
26.0,1060,1
26.0,1060,1
26.0,1055,1
26.0,1055,1
26.0,1060,1
26.0,1065,1
25.94,1065,1
25.94,1070,1
26.0,1075,1
25.94,1070,1
25.94,1080,1
25.94,1080,1
25.94,1085,1
26.0,1085,1
25.94,1080,1
26.0,1080,1
25.94,1085,1
25.94,1090,1
25.94,1095,1
26.0,1105,1
25.94,1105,1
26.0,1105,1
25.94,1110,1
25.94,1110,1
25.94,1110,1
25.94,1105,1
25.94,1100,1
26.0,1115,1
25.94,1115,1
26.0,1115,1
26.0,1120,1
26.0,1120,1
26.06,1130,1
26.0,1135,1
26.06,1145,1
26.06,1150,1
26.06,1160,1
26.06,1160,1
26.0,1165,1
26.06,1165,1
26.0,1165,1
26.06,1160,1
26.06,1160,1
26.0,1155,1
26.0,1155,1
26.0,1155,1
26.06,1160,1
26.06,1165,1
26.06,1170,1
26.06,1170,1
26.06,1170,1
26.06,1180,1
26.0,1185,1
26.0,1195,1
26.06,1185,1
26.06,1195,1
26.06,1200,1
26.06,1205,1
26.06,1200,1
26.06,1200,1
26.06,1210,1
26.06,1210,1
26.06,1200,1
26.06,1190,1
26.06,1190,1
26.06,1195,1
26.06,1200,1
26.06,1195,1
26.06,1195,1
26.06,1195,1
26.06,1190,1
26.06,1195,1
26.06,1200,1
26.06,1205,1
26.06,1205,1
26.06,1215,1
26.06,1210,1
26.06,1205,1
26.06,1205,1
26.0,1205,1
26.06,1205,1
26.06,1215,1
26.06,1215,1
26.06,1215,1
26.06,1225,1
26.06,1220,1
26.06,1225,1
26.06,1220,1
26.06,1220,1
26.06,1225,1
26.06,1220,1
26.06,1220,1
26.06,1220,1
26.06,1220,1
26.06,1210,1
26.06,1210,1
26.06,1205,1
26.06,1205,1
26.06,1200,1
26.06,1195,1
26.06,1200,1
26.06,1200,1
26.06,1210,1
26.06,1220,1
26.06,1220,1
26.06,1225,1
26.06,1220,1
26.06,1215,1
26.06,1210,1
26.13,1210,1
26.06,1215,1
26.06,1225,1
26.13,1215,1
26.13,1215,1
26.13,1210,1
26.13,1220,1
26.13,1220,1
26.13,1225,1
26.13,1220,1
26.13,1225,1
26.19,1225,1
26.13,1225,1
26.13,1225,1
26.13,1225,1
26.13,1235,1
26.13,1240,1
26.13,1245,1
26.13,1250,1
26.13,1245,1
26.13,1250,1
26.13,1260,1
26.13,1265,1
26.13,1265,1
26.13,1270,1
26.13,1255,1
26.13,1245,1
26.19,1245,1
26.06,1265,1
26.13,1265,1
26.13,1270,1
26.06,1240,0
26.0,1240,0
26.06,1250,0
26.0,1255,0
26.0,1250,0
26.0,1245,0
26.0,1230,0
26.0,1215,0
26.0,1210,0
25.94,1205,0
26.0,1200,0
26.0,1195,0
25.94,1180,0
25.94,1175,0
25.94,1165,0
25.94,1165,0
25.94,1165,0
25.94,1165,0
25.88,1165,0
25.94,1155,0
25.94,1155,0
25.88,1150,0
25.88,1140,0
25.81,1135,0
25.88,1125,0
25.88,1125,0
25.88,1125,0
25.88,1120,0
25.81,1110,0
25.81,1110,0
25.81,1110,0
25.81,1105,0
25.81,1105,0
25.81,1095,0
25.81,1085,0
25.81,1075,0
25.81,1075,0
25.75,1070,0
25.75,1060,0
25.75,1055,0
25.81,1055,0
25.75,1045,0
25.81,1040,0
25.81,1030,0
25.75,1035,0
25.81,1030,0
25.75,1030,0
25.81,1030,0
25.75,1025,0
25.75,1020,0
25.75,1025,0
25.75,1020,0
25.75,1025,0
25.69,1015,0
25.75,1020,0
25.75,1015,0
25.75,1010,0
25.75,1005,0
25.69,995,0
25.75,990,0
25.69,995,0
25.69,995,0
25.69,990,0
25.69,985,0
25.69,990,0
25.69,990,0
25.69,985,0
25.69,985,0
25.69,975,0
25.63,975,0
25.63,970,0
25.63,970,0
25.69,965,0
25.69,965,0
25.69,960,0
25.69,950,0
25.63,950,0
25.63,940,0
25.63,945,0
25.63,940,0
25.63,940,0
25.63,930,0
25.63,930,0
25.63,925,0
25.63,915,0
25.63,910,0
25.56,910,0
25.63,910,0
25.56,910,0
25.56,910,0
25.56,905,0
25.56,895,0
25.56,890,0
25.56,890,0
25.56,890,0
25.56,885,0
25.56,880,0
25.56,880,0
25.56,875,0
25.63,865,0
25.56,865,0
25.56,860,0
25.56,855,0
25.5,860,0
25.56,855,0
25.56,850,0
25.56,850,0
25.56,840,0
25.56,840,0
25.56,835,0
25.56,825,0
25.56,830,0
25.5,830,0
25.56,830,0
25.56,820,0
25.5,825,0
25.56,825,0
25.5,820,0
25.5,810,0
25.5,815,0
25.5,810,0
25.5,805,0
25.5,800,0
25.5,795,0
25.5,800,0
25.5,795,0
25.5,795,0
25.5,795,0
25.5,800,0
25.5,795,0
25.44,795,0
25.5,795,0
25.44,795,0
25.5,785,0
25.44,780,0
25.44,775,0
25.44,775,0
25.5,775,0
25.5,770,0
25.5,765,0
25.44,770,0
25.44,765,0
25.44,765,0
25.44,760,0
25.44,755,0
25.44,750,0
25.44,750,0
25.44,755,0
25.44,755,0
25.44,750,0
25.44,750,0
25.44,740,0
25.44,740,0
25.44,735,0
25.44,735,0
25.44,735,0
25.38,735,0
25.44,735,0
25.44,730,0
25.44,725,0
25.38,720,0
25.44,720,0
25.38,715,0
25.38,715,0
25.38,720,0
25.38,720,0
25.38,715,0
25.38,715,0
25.38,715,0
25.38,705,0
25.38,700,0
25.38,700,0
25.38,705,0
25.38,705,0
25.38,700,0
25.38,690,0
25.38,685,0
25.38,685,0
25.38,680,0
25.38,680,0
25.38,675,0
25.38,675,0
25.38,685,0
25.38,680,0
25.38,675,0
25.38,670,0
25.38,665,0
25.38,665,0
25.38,665,0
25.38,655,0
25.38,655,0
25.38,655,0
25.38,655,0
25.38,650,0
25.38,650,0
25.38,650,0
25.38,650,0
25.31,645,0
25.31,640,0
25.38,640,0
25.38,640,0
25.31,635,0
25.31,630,0
25.31,625,0
25.38,630,0
25.31,630,0
25.31,625,0
25.31,620,0
25.31,620,0
25.31,620,0
25.31,620,0
25.31,620,0
25.31,615,0
25.31,615,0
25.31,610,0
25.31,605,0
25.31,605,0
25.31,605,0
25.31,595,0
25.31,595,0
25.31,595,0
25.31,590,0
25.31,600,0
25.31,595,0
25.31,590,0
25.31,595,0
25.31,590,0
25.25,595,0
25.31,590,0
25.25,585,0
25.25,580,0
25.25,575,0
25.31,575,0
25.31,575,0
25.31,575,0
25.25,575,0
25.25,575,0
25.25,575,0
25.25,570,0
25.25,555,0
25.25,555,0
25.25,560,0
25.25,560,0
25.25,560,0
25.25,555,0
25.25,555,0
25.25,550,0
25.25,545,0
25.25,550,0
25.25,550,0
25.25,550,0
25.25,545,0
25.25,545,0
25.25,540,0
25.25,540,0
25.25,535,0
25.25,535,0
25.25,530,0
25.25,530,0
25.25,525,0
25.19,525,0
25.25,525,0
25.25,525,0
25.25,515,0
25.25,515,0
25.25,510,0
25.19,515,0
25.25,510,0
25.25,510,0
25.19,505,0
25.19,505,0
25.25,505,0
25.25,505,0
25.19,505,0
25.25,500,0
25.19,500,0
25.25,500,0
25.19,500,0
25.25,505,0
25.19,500,0
25.25,495,0
25.19,490,0
25.19,490,0
25.19,485,0
25.19,485,0
25.25,485,0
25.25,485,0
25.19,480,0
25.19,480,0
25.19,485,0
25.19,480,0
25.19,480,0
25.19,480,0
25.19,480,0
25.19,475,0
25.19,475,0
25.19,470,0
25.19,470,0
25.19,465,0
25.19,470,0
25.19,470,0
25.19,470,0
25.19,465,0
25.19,470,0
25.19,465,0
25.19,465,0
25.19,465,0
25.19,465,0
25.19,460,0
25.19,460,0
25.19,460,0
25.13,460,0
25.13,460,0
25.19,455,0
25.19,455,0
25.19,450,0
25.19,450,0
25.13,455,0
25.19,450,0
25.13,450,0
25.13,450,0
25.19,440,0
25.13,440,0
25.13,445,0
25.13,440,0
25.19,445,0
25.13,440,0
25.13,440,0
25.13,440,0
25.13,435,0
25.13,435,0
25.13,435,0
25.13,440,0
25.13,435,0
25.13,430,0
25.13,430,0
25.13,430,0
25.13,425,0
25.13,430,0
25.13,425,0
25.13,425,0
25.13,425,0
25.13,420,0
25.13,420,0
25.13,415,0
25.13,415,0
25.13,415,0
25.13,420,0
25.13,415,0
25.13,415,0
25.13,415,0
25.13,410,0
25.13,415,0
25.13,415,0
25.13,405,0
25.13,400,0
25.13,405,0
25.06,410,0
25.13,410,0
25.06,405,0
25.06,405,0
25.06,410,0
25.06,410,0
25.13,410,0
25.13,410,0
25.13,405,0
25.13,405,0
25.06,400,0
25.06,405,0
25.13,395,0
25.06,390,0
25.13,390,0
25.06,395,0
25.13,395,0
25.13,390,0
25.13,390,0
25.06,390,0
25.06,390,0
25.06,390,0
25.06,390,0
25.06,390,0
25.06,390,0
25.06,390,0
25.06,390,0
25.06,390,0
25.13,390,0
25.06,390,0
25.06,390,0
25.06,390,0
25.06,390,0
25.06,390,0
25.06,390,0
25.06,390,0
25.06,390,0
25.06,390,0
25.06,390,0
25.06,390,0
25.06,390,0
25.06,390,0
25.06,390,0
25.06,390,0
25.06,390,0
25.06,390,0
25.06,390,0
25.06,390,0
25.06,390,0
25.06,390,0
25.06,390,0
25.06,390,0
25.06,390,0
25.06,390,0
25.06,390,0
25.06,390,0
25.06,390,0
25.06,390,0
25.06,390,0
25.06,390,0
25.06,385,0
25.06,385,0
25.06,390,0
25.06,385,0
25.06,385,0
25.06,385,0
25.06,385,0
25.0,385,0
25.0,385,0
25.0,385,0
25.0,385,0
25.0,385,0
25.06,385,0
25.0,385,0
25.0,385,0
25.0,385,0
25.06,385,0
25.0,385,0
25.0,385,0
25.0,385,0
25.0,385,0
25.0,385,0
25.0,385,0
25.0,385,0
25.0,385,0
25.0,385,0
25.0,385,0
25.06,385,0
25.06,385,0
25.06,385,0
25.0,385,0
25.0,385,0
25.0,385,0
25.06,385,0
25.06,385,0
25.0,385,0
25.0,385,0
25.06,385,0
25.0,385,0
25.0,385,0
25.0,385,0
25.0,385,0
25.0,385,0
25.06,385,0
25.0,385,0
25.0,385,0
25.0,385,0
25.0,385,0
25.0,385,0
25.0,385,0
25.0,380,0
25.0,380,0
25.0,380,0
25.0,380,0
25.0,380,0
25.0,380,0
25.0,380,0
25.0,380,0
25.0,380,0
25.0,380,0
25.0,380,0
25.0,380,0
25.0,380,0
25.0,380,0
25.0,380,0
25.0,380,0
25.0,380,0
25.0,380,0
25.0,380,0
25.0,380,0
25.0,380,0
25.0,380,0
25.0,380,0
25.0,380,0
25.0,380,0
25.0,380,0
25.0,380,0
25.0,380,0
25.0,380,0
24.94,380,0
25.0,380,0
25.0,380,0
25.0,380,0
25.0,380,0
24.94,380,0
25.0,380,0
24.94,380,0
24.94,380,0
25.0,380,0
25.0,380,0
25.0,380,0
25.0,380,0
25.0,380,0
25.0,380,0
25.0,380,0
25.0,380,0
24.94,380,0
25.0,380,0
25.0,380,0
25.0,380,0
25.0,380,0
25.0,380,0
25.0,380,0
25.0,380,0
24.94,380,0
24.94,380,0
24.94,380,0
25.0,380,0
24.94,380,0
24.94,380,0
24.94,380,0
24.94,375,0
25.0,375,0
24.94,375,0
24.94,375,0
24.94,375,0
24.94,375,0
24.94,375,0
24.94,375,0
25.0,375,0
25.0,375,0
25.0,375,0
24.94,375,0
24.94,375,0
24.94,375,0
24.94,380,0
24.94,375,0
24.94,375,0
24.94,375,0
24.94,375,0
24.94,375,0
24.94,375,0
24.94,375,0
24.94,375,0
24.94,375,0
24.94,375,0
24.94,375,0
24.94,375,0
24.94,375,0
24.94,375,0
24.94,375,0
24.94,375,0
24.94,375,0
24.94,375,0
24.94,375,0
24.94,375,0
24.94,375,0
24.94,375,0
24.94,375,0
24.94,375,0
24.94,375,0
24.94,375,0
24.94,375,0
24.94,375,0
24.94,375,0
24.94,375,0
24.94,375,0
24.94,375,0
24.94,375,0
24.94,375,0
24.94,375,0
24.94,375,0
24.94,375,0
24.94,375,0
24.88,375,0
24.94,375,0
24.94,375,0
24.94,375,0
24.94,375,0
24.94,375,0
24.94,375,0
24.94,375,0
24.94,375,0
24.94,375,0
24.88,375,0
24.94,375,0
24.94,375,0
24.94,375,0
24.94,375,0
24.94,375,0
24.88,375,0
24.94,375,0
24.88,375,0
24.94,375,0
24.94,375,0
24.94,375,0
24.88,375,0
24.94,375,0
24.94,375,0
24.88,375,0
24.88,375,0
24.94,375,0
24.94,375,0
24.88,375,0
24.88,375,0
24.94,375,0
24.94,370,0
24.88,370,0
24.94,370,0
24.94,370,0
24.94,370,0
24.88,370,0
24.88,375,0
24.94,370,0
24.88,370,0
24.94,375,0
24.94,370,0
24.88,370,0
24.88,370,0
24.88,370,0
24.88,370,0
24.88,370,0
24.88,370,0
24.88,370,0
24.88,370,0
24.88,370,0
24.88,370,0
24.94,370,0
24.88,370,0
24.88,370,0
24.88,370,0
24.88,370,0
24.88,370,0
24.88,370,0
24.88,370,0
24.88,370,0
24.88,370,0
24.88,370,0
24.88,370,0
24.88,370,0
24.88,370,0
24.88,370,0
24.94,370,0
24.88,370,0
24.88,370,0
24.88,370,0
24.88,370,0
24.88,370,0
24.88,370,0
24.88,370,0
24.88,370,0
24.88,370,0
24.88,370,0
24.88,370,0
24.88,370,0
24.88,370,0
24.88,370,0
24.88,370,0
24.88,370,0
24.88,370,0
24.88,370,0
24.88,370,0
24.88,370,0
24.88,370,0
24.88,370,0
24.88,370,0
24.88,370,0
24.81,370,0
24.88,370,0
24.88,370,0
24.88,370,0
24.88,370,0
24.88,370,0
24.88,370,0
24.88,370,0
24.88,370,0
24.88,370,0
24.81,370,0
24.81,370,0
24.81,370,0
24.81,370,0
24.88,370,0
24.88,370,0
24.81,370,0
24.88,370,0
24.88,370,0
24.88,370,0
24.88,370,0
24.81,370,0
24.81,370,0
24.81,370,0
24.88,370,0
24.88,370,0
24.88,370,0
24.88,370,0
24.81,370,0
24.81,370,0
24.81,370,0
24.88,370,0
24.88,370,0
24.88,370,0
24.81,370,0
24.88,370,0
24.88,370,0
24.88,370,0
24.88,370,0
24.88,370,0
24.88,370,0
24.88,370,0
24.88,370,0
24.81,370,0
24.81,370,0
24.81,370,0
24.81,370,0
24.88,370,0
24.88,370,0
24.88,370,0
24.88,370,0
24.81,365,0
24.88,370,0
24.88,365,0
24.81,365,0
24.88,370,0
24.81,365,0
24.81,365,0
24.81,365,0
24.81,370,0
24.81,370,0
24.88,365,0
24.81,365,0
24.81,365,0
24.81,365,0
24.81,365,0
24.81,365,0
24.81,365,0
24.81,370,0
24.81,370,0
24.81,365,0
24.81,370,0
24.81,365,0
24.81,365,0
24.81,370,0
24.81,370,0
24.81,365,0
24.81,370,0
24.81,365,0
24.81,365,0
24.81,365,0
24.81,365,0
24.81,365,0
24.81,365,0
